# Format: service_name|state|type|fragment_path
# state: enabled, disabled, masked, indirect
# type: always 'package' for system services

systemd-pcrlock-secureboot-authority.service|disabled|package|/usr/lib/systemd/system/systemd-pcrlock-secureboot-authority.service
systemd-pcrlock-secureboot-policy.service|disabled|package|/usr/lib/systemd/system/systemd-pcrlock-secureboot-policy.service
systemd-pstore.service|disabled|package|/usr/lib/systemd/system/systemd-pstore.service
systemd-remount-fs.service|enabled-runtime|package|/usr/lib/systemd/system/systemd-remount-fs.service
systemd-resolved.service|disabled|package|/usr/lib/systemd/system/systemd-resolved.service
systemd-sysext.service|disabled|package|/usr/lib/systemd/system/systemd-sysext.service
systemd-sysupdate-reboot.service|indirect|package|/usr/lib/systemd/system/systemd-sysupdate-reboot.service
systemd-sysupdate.service|indirect|package|/usr/lib/systemd/system/systemd-sysupdate.service
systemd-time-wait-sync.service|disabled|package|/usr/lib/systemd/system/systemd-time-wait-sync.service
systemd-timesyncd.service|enabled|package|/usr/lib/systemd/system/systemd-timesyncd.service
systemd-tpm2-clear.service|disabled|package|/usr/lib/systemd/system/systemd-tpm2-clear.service
systemd-udev-load-credentials.service|disabled|package|/usr/lib/systemd/system/systemd-udev-load-credentials.service
systemd-userdb-load-credentials.service|disabled|package|/usr/lib/systemd/system/systemd-userdb-load-credentials.service
systemd-userdbd.service|indirect|package|/usr/lib/systemd/system/systemd-userdbd.service
systemd-vmspawn@.service|disabled|package|
tlp.service|disabled|package|/usr/lib/systemd/system/tlp.service
udisks2.service|disabled|package|/usr/lib/systemd/system/udisks2.service
ufw.service|enabled|package|/usr/lib/systemd/system/ufw.service
upower.service|disabled|package|/usr/lib/systemd/system/upower.service
uuidd.service|indirect|package|/usr/lib/systemd/system/uuidd.service
wpa_supplicant-nl80211@.service|disabled|package|
wpa_supplicant-wired@.service|disabled|package|
wpa_supplicant.service|disabled|package|/usr/lib/systemd/system/wpa_supplicant.service
wpa_supplicant@.service|disabled|package|
avahi-daemon.socket|disabled|package|/usr/lib/systemd/system/avahi-daemon.socket
git-daemon.socket|disabled|package|/usr/lib/systemd/system/git-daemon.socket
gpsd.socket|disabled|package|/usr/lib/systemd/system/gpsd.socket
krb5-kpropd.socket|disabled|package|/usr/lib/systemd/system/krb5-kpropd.socket
mpd.socket|disabled|package|/usr/lib/systemd/system/mpd.socket
pcscd.socket|disabled|package|/usr/lib/systemd/system/pcscd.socket
polkit-agent-helper.socket|enabled|package|/usr/lib/systemd/system/polkit-agent-helper.socket
rsyncd.socket|disabled|package|/usr/lib/systemd/system/rsyncd.socket
systemd-factory-reset.socket|disabled|package|/usr/lib/systemd/system/systemd-factory-reset.socket
systemd-journal-gatewayd.socket|disabled|package|/usr/lib/systemd/system/systemd-journal-gatewayd.socket
systemd-journal-remote.socket|disabled|package|/usr/lib/systemd/system/systemd-journal-remote.socket
systemd-journald-audit.socket|disabled|package|/usr/lib/systemd/system/systemd-journald-audit.socket
systemd-journald@.socket|disabled|package|
systemd-mountfsd.socket|disabled|package|/usr/lib/systemd/system/systemd-mountfsd.socket
systemd-networkd-resolve-hook.socket|disabled|package|/usr/lib/systemd/system/systemd-networkd-resolve-hook.socket
systemd-networkd-varlink.socket|disabled|package|/usr/lib/systemd/system/systemd-networkd-varlink.socket
systemd-networkd.socket|disabled|package|/usr/lib/systemd/system/systemd-networkd.socket
systemd-nsresourced.socket|disabled|package|/usr/lib/systemd/system/systemd-nsresourced.socket
systemd-oomd.socket|disabled|package|/usr/lib/systemd/system/systemd-oomd.socket
systemd-pcrextend.socket|disabled|package|/usr/lib/systemd/system/systemd-pcrextend.socket
systemd-pcrlock.socket|disabled|package|/usr/lib/systemd/system/systemd-pcrlock.socket
systemd-resolved-monitor.socket|disabled|package|/usr/lib/systemd/system/systemd-resolved-monitor.socket
systemd-resolved-varlink.socket|disabled|package|/usr/lib/systemd/system/systemd-resolved-varlink.socket
systemd-sysext.socket|disabled|package|/usr/lib/systemd/system/systemd-sysext.socket
systemd-userdbd.socket|enabled|package|/usr/lib/systemd/system/systemd-userdbd.socket
uuidd.socket|disabled|package|/usr/lib/systemd/system/uuidd.socket
